9 0 9	.CCBBBHH.FL..AAFLY...FLYG.DUU.G.DEE. C99 
7 1 6	.CCBBBHH.FL..AAFL....FLYG.DUUYG.DEE. Y99 
7 1 6	.CCBBBHH.FL..AAFL....FL.G.DUUYG.DEEY Y98 
8 2 6	.CCBBB.HHFL..AAFL....FLYG.DUUYG.DEE. H99 Y99 
8 2 6	.CCBBBHH.FL..AAFL.G..FLYG.DUUY..DEE. Y99 G99 
8 2 6	.CCBBBHH.FL.GAAFL.G..FLY..DUUY..DEE. Y99 G98 
8 2 6	.CCBBBHH.FL.AA.FL....FLYG.DUUYG.DEE. A99 Y99 
8 2 6	CC.BBBHH.FL..AAFL....FLYG.DUUYG.DEE. C99 Y99 
8 2 6	.CCBBBHH.FL..AAFL.G..FL.G.DUUY..DEEY Y98 G99 
8 2 6	.CCBBBHH.FL..AAFL...DFL.G.DUUYG..EEY Y98 D99 
8 2 6	.CCBBBHH.FL.GAAFL.G..FL...DUUY..DEEY Y98 G98 
8 2 6	.CCBBBHH.FL..AAFL...DFLYG.DUUYG..EE. Y99 D99 
8 2 6	.CCBBB.HHFL..AAFL....FL.G.DUUYG.DEEY H99 Y98 
8 2 6	.CCBBBHH.FL.AA.FL....FL.G.DUUYG.DEEY A99 Y98 
8 2 6	.CCBBBHH.FL..AAFL....FLYG.DUUYG.D.EE Y99 E99 
8 2 6	CC.BBBHH.FL..AAFL....FL.G.DUUYG.DEEY C99 Y98 
9 3 6	GCCBBBGHHFL..AAFL....FLY..DUUY..DEE. H99 Y99 G96 
9 3 6	.CCBBB.HHFL..AAFL....FLYG.DUUYG.D.EE H99 Y99 E99 
9 3 6	.CCBBBHH.FL.AA.FL.G..FLYG.DUUY..DEE. A99 Y99 G99 
9 3 6	.CCBBBHH.FL..AAFL.G..FLYG.DUUY..D.EE Y99 G99 E99 
9 3 6	CCBBB.HH.FL..AAFL....FL.G.DUUYG.DEEY C99 B99 Y98 
9 3 6	CC.BBBHH.FL..AAFL.G..FLYG.DUUY..DEE. C99 G99 Y99 
9 3 6	CC.BBBHH.FL.AA.FL....FL.G.DUUYG.DEEY C99 A99 Y98 
9 3 6	.CCBBB.HHFL..AAFL...DFLYG.DUUYG..EE. H99 Y99 D99 
9 3 6	.CCBBB.HHFL.AA.FL....FL.G.DUUYG.DEEY H99 A99 Y98 
9 3 6	.CCBBBGHHFL.GAAFL....FL...DUUY..DEEY H99 Y98 G97 
9 3 6	.CCBBBHH.FL..AAFL...DFLYG.DUUYGEE... Y99 D99 E98 
9 3 6	CC.BBB.HHFL..AAFL....FL.G.DUUYG.DEEY C99 H99 Y98 
9 3 6	.CCBBB.HHFL.GAAFL.G..FLY..DUUY..DEE. H99 Y99 G98 
9 3 6	.CCBBBGHHFL.GAAFL....FLY..DUUY..DEE. H99 Y99 G97 
9 3 6	.CCBBBHH.FL..AAFL...DFL.G.DUUYGEE..Y Y98 D99 E98 
9 3 6	.CCBBBHH.FL..AAFL...DFLYG.DUUYG.EE.. Y99 D99 E99 
9 3 6	CC.BBBHH.FL.GAAFL.G..FL...DUUY..DEEY C99 G98 Y98 
