2 0 2	..BC....BCDDAABC....EEEF.....F..GGGF 
3 1 2	..BC....BCDDAABC...EEE.F.....F..GGGF E99 
3 1 2	..BC....BCDDAABC..EEE..F.....F..GGGF E98 
3 1 2	..BC....BCDDAABC....EEEF.....F.GGG.F G99 
3 1 2	..BC....BCDDAABC....EEEF.....FGGG..F G98 
4 2 2	..BC....BCDDAABC...EEE.F.....F.GGG.F E99 G99 
4 2 2	..B.....BCDDAABC..EEEC.F.....F..GGGF C99 E98 
4 2 2	..BC....BCDDAABC..EEE..F.....F.GGG.F E98 G99 
4 2 2	..BC....BCDDAABC..EEE..F.....FGGG..F E98 G98 
4 3 1	..B.....B.DDAAB...EEEC.F...C.FGGGC.F C97 E98 G98 
4 2 2	..BC....BCDDAABC...EEE.F.....FGGG..F E99 G98 
4 2 2	..B.....B.DDAABC..EEEC.F...C.F..GGGF C98 E98 
4 1 3	..BC....BCDDAABC.F..EEEF.....F..GGG. F99 
5 4 1	..B.....BDD.AAB...EEEC.F...C.FGGGC.F C97 D99 E98 G98 
5 3 2	..B.....B.DDAABC..EEEC.F...C.FGGG..F C98 E98 G98 
5 3 2	..B.....B.DDAABC..EEEC.F...C.F.GGG.F C98 E98 G99 
5 3 2	..B.....BCDDAABC..EEEC.F.....FGGG..F C99 E98 G98 
5 3 2	..B.....BDD.AABC..EEEC.F...C.F..GGGF C98 D99 E98 
5 2 3	..BC....BCDDAABC.F..EEEF.....F.GGG.. F99 G99 
5 2 3	..BC....BCDDAABC.F..EEEF.....F...GGG F99 G99 
5 2 3	..BC....BCDDAABC.F..EEEF.....FGGG... F99 G98 
5 2 3	..BC....BCDDAABC.F.EEE.F.....F..GGG. E99 F99 
5 2 3	..BC....BCDDAABC.FEEE..F.....F..GGG. E98 F99 
6 4 2	..B.....BCDDAABC..EEEC.F.....F.GGG.F C97 E98 G99 
6 4 2	..B.....BDD.AABC..EEEC.F...C.FGGG..F C98 D99 E98 G98 
6 4 2	..B.....BDD.AABC..EEEC.F...C.F.GGG.F C98 D99 E98 G99 
6 4 2	..B.....B.DDAAB..FEEEC.F...C.FGGGC.. C97 E98 F99 G98 
6 3 3	..BC....BCDDAABC.FEEE..F.....FGGG... E98 F99 G98 
6 3 3	..BC....BCDDAABC.F.EEE.F.....FGGG... E99 F99 G98 
6 3 3	..BC....BCDDAABC.F.EEE.F.....F...GGG E99 F99 G99 
6 3 3	..BC....BCDDAABC.FEEE..F.....F...GGG E98 F99 G99 
6 3 3	..B.....BCDDAABC.FEEEC.F.....F..GGG. C99 E98 F99 
6 3 3	..B.....B.DDAABC.FEEEC.F...C.F..GGG. C98 E98 F99 
6 3 3	..BC....BCDDAABC.FEEE..F.....F.GGG.. E98 F99 G99 
7 5 2	..B.....BDD.AAB..FEEEC.F...C.FGGGC.. C97 D99 E98 F99 G98 
7 5 2	..B.....BDD.AABC..EEEC.F...C.FGGG..F C96 D99 E98 G98 
7 5 2	..B..F..BDDFAAB..FEEEC.....C..GGGC.. C97 D99 E98 F97 G98 
7 4 3	..B.....BDDFAABC.FEEEC.F...C....GGG. C98 D99 E98 F98 
7 4 3	..B..F..BDDFAABC.FEEEC.....C....GGG. C98 D99 E98 F97 
7 4 3	..B.....BCDDAABC.FEEEC.F.....F.GGG.. C99 E98 F99 G99 
7 4 3	..BC....BCDDAABC.F.EEE.F.....F.GGG.. E97 F99 G99 
7 4 3	..B.....B.DDAABC.FEEEC.F...C.F.GGG.. C98 E98 F99 G99 
7 4 3	..B.....BCDDAABC.FEEEC.F.....F...GGG C99 E98 F99 G99 
7 4 3	..B.....BCDDAABC.FEEEC.F.....FGGG... C99 E98 F99 G98 
7 4 3	..B.....BDD.AABC.FEEEC.F...C.F..GGG. C98 D99 E98 F99 
7 4 3	..B.....B.DDAABC.FEEEC.F...C.FGGG... C98 E98 F99 G98 
7 4 3	..B.....BCDDAABC.FEEEC.F.....F.GGG.. C99 E98 F99 G99 
7 4 3	..B.....B.DDAABC.FEEEC.F...C.F...GGG C98 E98 F99 G99 
8 6 2	..B.....BDDFAAB..FEEEC.F...C..GGGC.. C97 D99 E98 F98 G98 
8 5 3	..B..F..BDDFAABC.FEEEC.....C...GGG.. C98 D99 E98 F97 G99 
8 5 3	..B..F..BDDFAABC.FEEEC.....C..GGG... C98 D99 E98 F97 G98 
8 5 3	..B.....BDD.AABC.FEEEC.F...C.F.GGG.. C98 D99 E98 F99 G99 
8 5 3	..B.....BDD.AABC.FEEEC.F...C.FGGG... C98 D99 E98 F99 G98 
8 5 3	..B.....BDD.AABC.FEEEC.F...C.F...GGG C98 D99 E98 F99 G99 
8 5 3	..B.....BDDFAABC.FEEEC.F...C...GGG.. C98 D99 E98 F98 G99 
8 5 3	..B.....BDDFAABC.FEEEC.F...C..GGG... C98 D99 E98 F98 G98 
8 5 3	..B.....BDDFAABC.FEEEC.F...C.....GGG C98 D99 E98 F98 G99 
8 5 3	..B.....BCDDAABC.FEEEC.F.....F.GGG.. C97 E98 F99 G99 
8 5 3	..B..F..BDDFAABC.FEEEC.....C.....GGG C98 D99 E98 F97 G99 
